source,target,edge_type,epistemic_status,description,citation
T2-NMDAModulation,T3-NeonatalEpilepsy,confirmed,speculative,"Zinc chelation by citrate modulates NMDA excitability; NaCT loss may alter zinc-NMDA balance in neonatal brain","Cross-domain inference"
T2-AcetylCoAProduction,T3-IntellectualDisability,confirmed,speculative,"Reduced acetyl-CoA reduces histone acetylation at synaptic genes during critical developmental window; may cause permanent epigenetic deficit","Cross-domain inference; Pourshafie-2026"
T2-HistoneAcetylation,T3-IntellectualDisability,confirmed,speculative,"Failure to establish H3K27ac at synaptic gene loci during critical developmental window leads to irreversible cognitive impairment","Cross-domain inference"
T2-HepaticLipidMetabolism,T3-HepaticMetabolicPhenotype,confirmed,emerging,"Mouse KO metabolic protection (reduced hepatic fat, improved insulin sensitivity) predicts analogous phenotype in DEE25 patients; untested in humans","Birkenfeld-2011 (mouse model)"
T2-HepaticLipidMetabolism,T3-MovementAbnormalities,confirmed,speculative,"ACLY-derived acetyl-CoA for fatty acid synthesis is analogous to myelin lipid synthesis in oligodendrocytes; NaCT loss may impair myelination","Mechanistic analogy; Rigby-2022"
T3-UrinaryMetabolomicsSignature,T4-AlzheimerDisease,confirmed,emerging,"CSF citrate rises with aging (Lin-2021); plasma citrate predicts pre-dementia cognitive decline (Tremblay-Franco-2024); links NaCT biology to AD biomarker space","Lin-2021; Tremblay-Franco-2024"
T3-HepaticMetabolicPhenotype,T4-MetabolicSyndrome,confirmed,unknown,"DEE25 patients represent the only natural human experiment for complete hepatic NaCT loss; hepatic phenotype has not been systematically studied","Brown-Nye-Porter-2021 (absence finding)"
T2-AcetylCoAProduction,T4-AlzheimerDisease,confirmed,mixed,"ACLY to acetyl-CoA to ACh synthesis established; cholinergic deficit is AD hallmark; NaCT upstream of ACLY in cholinergic neurons is speculative","Gul-Hinc-2026"
T2-MitochondrialBioenergetics,T4-AlzheimerDisease,confirmed,emerging,"OXPHOS module co-expression with SLC13A5; KEGG enrichment for AD/PD/HD pathways in turquoise module","Ferreira-2026"
T2-HepaticLipidMetabolism,T4-MetabolicSyndrome,confirmed,established,"AMPK-lipogenesis axis is the hepatic mechanism for metabolic disease protection; established in mouse model","Birkenfeld-2011 (mouse model)"
T2-mTORSignaling,T4-NeurodegenerationBroadly,confirmed,speculative,"mTORC1 suppression to autophagy to aggregate clearance; NaCT connection to neurodegeneration via mTOR is cross-domain inference","Cross-domain inference"
T2-CitrateTCAIntegration,T4-CancerMetabolism,confirmed,established,"Conditional NaCT activity under hypoxia and glutamine deprivation in HCC cell lines; established in cell model","Kumar-2021 (cell model)"
T1-ExpressionAtlas,T4-AlzheimerDisease,inferred,speculative,"Cerebral SLC13A5 expression declines with aging; inferred consequence is reduced NaCT activity in aged cholinergic neurons relevant to AD","Ferreira-2026 trajectory + Gul-Hinc-2026 ACLY-ACh"
T2-HistoneAcetylation,T3-IntellectualDisability,inferred,speculative,"Epigenetic programming failure during critical developmental window leads to permanent cognitive architecture deficit; not directly measured in NaCT-deficient neurons","Pourshafie-2026 (ACSS2 analogy); cross-domain ACLY inference"
T2-mTORSignaling,T3-IntellectualDisability,inferred,speculative,"mTORC1 suppression during synaptogenesis impairs translation-dependent circuit formation; not measured in NaCT-deficient neurons","Cross-domain inference"
T2-GABAMetabolism,T3-MovementAbnormalities,inferred,speculative,"GABA shapes motor circuit excitability in spinal and cortical circuits; connection to DEE25 movement abnormalities is not NaCT-specific","General neuroscience; not NaCT-specific"
T1-InteractingProteins,T3-MovementAbnormalities,inferred,speculative,"SLC13A5 in oligodendrocyte precursor cells may impair myelin lipid synthesis and white matter development; SLC13A5 expression in OPCs not confirmed","Rigby-2022 overexpression data; Dirckx-2022 OPC precedent"
T3-ToothEnamelHypoplasia,T4-AlzheimerDisease,inferred,speculative,"Dental enamel hypoplasia as a lifetime biomarker proxy for NaCT function level; indirect AD-risk inference","Speculative extension; no direct evidence"
